"Hora","Nome completo","Usuário afetado","Contexto do Evento","Componente","Nome do evento","Descrição","Origem","endereço IP"
"20/03/24, 10:09:01","Nome Tutor Um","Nome Aluno Um","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","Tabela de notas visualizada","The user with id '3094' viewed the grading table for the assignment with course module id '3789'.","web",
"20/03/24, 10:09:01","Nome Tutor Um","Nome Aluno Um","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","Módulo do curso visualizado","The user with id '3094' viewed the 'assign' activity with course module id '3789'.","web",
"20/03/24, 10:06:41","Nome Tutor Um","Nome Aluno Um","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","Tabela de notas visualizada","The user with id '3094' viewed the grading table for the assignment with course module id '3789'.","web",
"20/03/24, 10:06:41","Nome Tutor Um","Nome Aluno Um","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","Módulo do curso visualizado","The user with id '3094' viewed the 'assign' activity with course module id '3789'.","web",
"20/03/24, 10:06:36","Nome Tutor Um","Nome Aluno Dois","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","Tabela de notas visualizada","The user with id '3094' viewed the grading table for the assignment with course module id '3789'.","web",
"20/03/24, 10:06:36","Nome Tutor Um","Nome Aluno Dois","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","Módulo do curso visualizado","The user with id '3094' viewed the 'assign' activity with course module id '3789'.","web",
"20/03/24, 10:06:34","Nome Tutor Um","Nome Aluno Dois","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","O status da submissão foi visualizado.","The user with id '3094' has viewed the submission status page for the assignment with course module id '3789'.","web",
"20/03/24, 10:06:34","Nome Tutor Um","Nome Aluno Dois","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","Módulo do curso visualizado","The user with id '3094' viewed the 'assign' activity with course module id '3789'.","web",
"20/03/24, 10:06:26","Nome Tutor Um","Nome Aluno Dois","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","O status da submissão foi visualizado.","The user with id '3094' has viewed the submission status page for the assignment with course module id '3789'.","web",
"20/03/24, 10:06:26","Nome Tutor Um","Nome Aluno Dois","Tarefa: Atividade 01 - Infográfico Informacional (INDIVIDUAL)","Tarefa","Módulo do curso visualizado","The user with id '3094' viewed the 'assign' activity with course module id '3789'.","web",
